response,empathy_score
Are these feelings caused by someone else that you can blame?,0
Do you feel like you are losing friends or loved ones?,1
Which negative feelings have you felt?,0
Thank you for sharing this with me. I will ask you a few questions to better understand your situation,2
Are you having difficulties in your personal life due to recent events (falling out with friends e.g.)?,1
"That must be terrible to experience. Now, if you agree, let's proceed to some questions to understand your situation better.",2
"Have you find yourself wanting or trying to control someone in your life lately, perhaps as a response to a perceived lack of control in your own life?",1
Do you feel in any way that you are the one responsible to save someone?,0
Do you ever feel that others have responsibility for your negative emotions?,1
Do you think you have felt like this towards another person?,0
Have you recently tried protocol 6 and found these emotions as a result of old events?,0
I understand. Did this happen recently or in the past?,1
Do you feel like you should be the person that saves someone else?,0
"Life can throw lots of different, difficult curveballs at you. Is there currently something difficult happening to you in your life?",2
Were any unmanageable negative emotions brought up after using protocol 6?,0
Do you think imposing your will on someone would help?,1
Do you feel that you are in a crisis?,0
"When you have conversations, do you consider other people's point of view?",0
"I know this may be a difficult question to answer, but are you experiencing any challenges in you personal life at the moment?",2
"Is there a possibility or chance that you might be controlling someone, even if you are unaware?",1
Have you recently tried protocol 6 and found that it made emotions worse for you?,0
Do you always blame or accuse yourself for things that go wrong? ,0
"Based on previous talks, do you think about other viewpoints?",0
Do you take into account the feelings and points of view of others?,0
Are you going through anything personally?,0
I appreciate you opening up to me. I do however need to dig further into what you just shared with me so I can have a clearer picture of your situation.,2
Have you recently attempted protocol 6 and found that this has triggered overwhelming emotions stemming from an old event?,1
Do you feel like you need to be someone else's saviour?,0
"In the past, have you taken into account other points of view?",0
Thank you for sharing with me how you feel. I will ask you some questions so I can understand your feelings more and help with you them. ,2
Have you felt like a victim recently or maybe blaming someone for how you feel?,1
Do you feel as though you are the victim in this situation?,0
Can I ask you if you felt some of these feelings about someone?,1
"I  do appreciate you sharing it with me. If I may, I would like to ask you some more questions to see how I can help. ",2
Do you sometimes feel or express any of the following emotions towards someone:,0
Thank you. I am sorry about this. Now I am going to further assess your feelings by asking more questions.,2
Was the event that led to this recent or distant?,0
I would like to ask you if you have recently tried protocol 6 and felt that it reignited exacerbating emotions as a result of recalling past events. Is this true?,2
Did that happed to you recently or that was some time ago?,0
Do you feel as if you have to save someone else from a misfortune?,0
"In this situation do you see yourself as the victim, blaming someone else for how negative you feel?",1
Was it caused by something that happened recently or maybe some time ago?,1
Is it correct that you are experiencing a personal crisis?,1
Do you feel like you are trying to control other people?,0
"If I may ask, was this caused by a recent or distant event (or events)?",1
"Do you know about protocol 6? If so, have you attempted it and found reignited unmanageable emotions as a result of old events?",1
Do you tend to be protective of others? As if you want to be a saviour?,1
Are you impacted like this by a specific event?,0
Have you expressed these feelings or emotions to someone?,0
Are you trying to change someone's behaviour?,0
Do you always blame and accuse yourself when things don't go right?,0
Do you always feel responsible when something goes wrong?,0
"Thank you for sharing with me. I'll ask you some questions now, so you can elaborate on your situation.",1
"In the conversation before, did you consider other viewpoints presented?",0
Would you consider yourself as a possible saviour of someone else?,0
Are you maybe always blaming yourself or maybe accusing yourself when things do not go right?,0
Do you think your negative feelings are a result of someone else's actions?,0
"Do you see yourself as the victim, is someone else to blame for these negative feelings you are experiencing?",0
Do you feel that it's up to you to 'save' someone else?,0
Do you think this was caused by a recent or distant event (events)?,0
"When having conversations in the past, do you give attention to othersâ€™ viewpoints?",0
Do you sometimes believe that you need to save someone,0
Do you tend to consider other peoples opinions / viewpoints to help structure how you feel?,1
Do you sometimes feel like a victim?,0
Was it caused by something specific?,0
Have you reviewed protocol 6? As a warning this protocol will ask you to revisit a traumatic event that has occurred previously. Do you feel negative emotions from this protocol?,2
Do you think your negative feelings are a result of someone else's actions?,0
Do you recall whether it was a recent or distant event?,0
Do you believe that you should be the saviour of an individual?,0
"If you are willing to share your thoughts, do you always believe that you are the cause of something going wrong?",1
I hear what you're saying. Would you mind if I asked some questions about this.,1
Have you had the feeling to control someone?,0
Is there any internal conflict that you are in or might be experiencing for example with family or close relations?,1
"Have you recently tried protocol 6 and found it personally complicated, because it reignited emotions as a result of old events?",1
Can you please tell me if in previous conversations you considered other viewpoints presented?,1
Would you say there is something in particular that happened to cause how you're feeling? ,1
Have you considered other viewpoints presented in previous conversations?,0
Was your feeling caused by a specific event?,0
Did any of this been caused by a specific event?,0
"I hope it was okay. Have you tried protocol 6, and somehow feel that it has reignited unmanageable emotions from the past?",2
Do you feel as if your personal life is falling apart? ,1
Do you believe that you put other people's needs first as a way to act like their saviour?,1
Have you recenly tried to attempt protocol 6 and found this reignited unpleasant emotions as a result of some  past relatable experience that happened to you? ,2
"When something goes wrong, do you always blaming yourself?",0
Was it a specific situation that sparked your feelings of disappointment?,1
Was this feeling caused by a specific problem?,0
Have you thought you may be trying to push others into what you consider they should do?,1
Do you think that in this situation you have been someone that controls the other person?,0
Do you always feel guilty?,0
I understand why you feel this way. I will ask some more questions to understand your current situation.,2
Do you feel this way because of something that happened in a long time ago or recently?,1
I'm sorry to hear that. I have a couple questions so that I may be able to help you.,1
Are you thinking that you are the only person that can help others?,0
Thank you for trusting me with this information. I just want to ask a few questions to understand the situation more clearly.,2
Do you see yourself being in an unjust position due to someone else's actions?,0
Can you let me know if you have always blamed and accused yourself for when things do not go as planned?,1
I was wondering whether this feeling is caused by a certain event?,1
"Sometimes we need to look at situations from different points of view, even if that might be challenging. Have you tried looking at this situation from different points of view?",2
Do you always feel responsible and guilty when something goes wrong?,0
Are you feeling this way because of a specific situation?,0
Do you attempt to understand other people's viewpoints?,0
Are you always so hard on yourself when something doesn't go according to plan?,0
Did anything bad happen between you and someone you are close with recently? Or anything else in your personal life gone wrong?,1
Are you trying to help someone out by controlling their decisions?,0
Has it ever happened that you showed or deeply felt one or more of these emotions about someone,0
Which one of these emotions have you conveyed to anyone recently? ,0
Do you identify with any of the following emotions felt towards someone:,0
Do you feel like you're controlling someone?,0
Thank you for the information. Now I am asking you a few things to understand your situation.,1
Are you going through a personal crisis or experiencing problems with your loved ones?,0
