response,empathy_score
Are these feelings caused by someone else that you can blame?,no
Do you feel like you are losing friends or loved ones?,no
Which negative feelings have you felt?,no
Thank you for sharing this with me. I will ask you a few questions to better understand your situation,strong
Are you having difficulties in your personal life due to recent events (falling out with friends e.g.)?,weak
"That must be terrible to experience. Now, if you agree, let's proceed to some questions to understand your situation better.",strong
"Have you find yourself wanting or trying to control someone in your life lately, perhaps as a response to a perceived lack of control in your own life?",strong
Do you feel in any way that you are the one responsible to save someone?,no
Do you ever feel that others have responsibility for your negative emotions?,weak
Do you think you have felt like this towards another person?,no
Have you recently tried protocol 6 and found these emotions as a result of old events?,weak
I understand. Did this happen recently or in the past?,weak
Do you feel like you should be the person that saves someone else?,no
"Life can throw lots of different, difficult curveballs at you. Is there currently something difficult happening to you in your life?",weak
Were any unmanageable negative emotions brought up after using protocol 6?,no
Do you think imposing your will on someone would help?,weak
Do you feel that you are in a crisis?,no
"When you have conversations, do you consider other people's point of view?",no
"I know this may be a difficult question to answer, but are you experiencing any challenges in you personal life at the moment?",strong
"Is there a possibility or chance that you might be controlling someone, even if you are unaware?",weak
Have you recently tried protocol 6 and found that it made emotions worse for you?,weak
Do you always blame or accuse yourself for things that go wrong? ,no
"Based on previous talks, do you think about other viewpoints?",no
Do you take into account the feelings and points of view of others?,no
Are you going through anything personally?,no
I appreciate you opening up to me. I do however need to dig further into what you just shared with me so I can have a clearer picture of your situation.,strong
Have you recently attempted protocol 6 and found that this has triggered overwhelming emotions stemming from an old event?,weak
Do you feel like you need to be someone else's saviour?,no
"In the past, have you taken into account other points of view?",no
Thank you for sharing with me how you feel. I will ask you some questions so I can understand your feelings more and help with you them. ,strong
Have you felt like a victim recently or maybe blaming someone for how you feel?,weak
Do you feel as though you are the victim in this situation?,no
Can I ask you if you felt some of these feelings about someone?,weak
"I  do appreciate you sharing it with me. If I may, I would like to ask you some more questions to see how I can help. ",strong
Do you sometimes feel or express any of the following emotions towards someone:,no
Thank you. I am sorry about this. Now I am going to further assess your feelings by asking more questions.,strong
Was the event that led to this recent or distant?,no
I would like to ask you if you have recently tried protocol 6 and felt that it reignited exacerbating emotions as a result of recalling past events. Is this true?,strong
Did that happed to you recently or that was some time ago?,no
Do you feel as if you have to save someone else from a misfortune?,no
"In this situation do you see yourself as the victim, blaming someone else for how negative you feel?",weak
Was it caused by something that happened recently or maybe some time ago?,weak
Is it correct that you are experiencing a personal crisis?,no
Do you feel like you are trying to control other people?,no
"If I may ask, was this caused by a recent or distant event (or events)?",weak
"Do you know about protocol 6? If so, have you attempted it and found reignited unmanageable emotions as a result of old events?",weak
Do you tend to be protective of others? As if you want to be a saviour?,weak
Are you impacted like this by a specific event?,no
Have you expressed these feelings or emotions to someone?,no
Are you trying to change someone's behaviour?,no
Do you always blame and accuse yourself when things don't go right?,no
Do you always feel responsible when something goes wrong?,no
"Thank you for sharing with me. I'll ask you some questions now, so you can elaborate on your situation.",strong
"In the conversation before, did you consider other viewpoints presented?",no
Would you consider yourself as a possible saviour of someone else?,weak
Are you maybe always blaming yourself or maybe accusing yourself when things do not go right?,weak
Do you think your negative feelings are a result of someone else's actions?,no
