Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
The chatbot was good at guessing my emotion.,"When interacting with the persona named Kai, I found that they displayed empathy in their responses throughout the conversation.","When interacting with the persona named Kai, I found the conversation to be engaging.","Which other personas did you interact with, apart from Kai? (Select all that apply)","When interacting with the other personas (any apart from Kai), I found that they displayed empathy in their responses throughout the conversation.","When interacting with the other personas (any apart from Kai), I found the conversation to be engaging.","Overall, the platform was useful.",Please describe the overall emotional impact of your experience:,Do you have any further suggestions for how the platform can be improved?,Please provide any additional comments you have.
Disagree,Agree,Agree,"Robert,Arman",Agree,Agree,,"Well it was ok. There were more interactions this time but again limiting the feelings to just 4 or 5 categories doesn't seem helpful. Why ""being tired"" is considered as ""sad"" emotion. No need to push people to sadness. Instead the chatbot can use ""tired"" in their response and say ""I understand you had a hard day. I can help you by suggesting you doing one of these exercises, you will gain lots of positive energy for your rest of day."" Or if it's night time: ""I understand you had a hard day. I can help you by suggesting you doing one of these exercises, you will have a good night sleep.""
Isn't it better this way? 
By the way, are you checking the local time of the user in order to see if it's day time or night? For the above example, it seems it's better to be checked :)","I'm not sure if you have tried different devices to try and see how this chatbot page works or not. I had difficulty choosing the bot's responses and suggestions, scrolling down the page, reading the chat and the instructions on both iPhone and iPad using Safari. I tried Chrome on my iPhone which was slightly better as I could see the chatbot messages under the text box but again I couldn't scroll down the instructions part to see the protocols descriptions. I could only the see first page of it which ends with this sentence: ""Please scroll down ..."".
Furthermore the last time I tried the chatbot, I was trying to scroll up to see what were the previous protocol suggestions then the whole chat got restarted! So I was like well, I think I'm done trying to work with this chatbot.","Sorry that my comments seems discouraging. I totally understand how much effort you and the previous team have put to make this work better and I really appreciate your hard work. Please don't get me wrong. I'm sure by creating and improving this chatbot, you all are going to make a huge difference in lots of people's lives. 
Thanks for the hard work! :)"
Strongly agree,Neither agree nor disagree,Neither agree nor disagree,"Arman,Olivia",Strongly agree,Strongly agree,,"How come I hadnât worked for sometimes, but after I practiced the protocol, I easily could change my mood to a better level and I think thatâs because of the profound impression of the protocols the time we worked on. Also this new platform makes this good impression double as you are interacting with someone to do the process and itâs close to the real conversation.",,
Neither agree nor disagree,Agree,Agree,"Gabrielle,Arman",Agree,Agree,,"Again, as last time, I think this question needs to be rephrased and made more specific? (what do you mean by 'emotional impact'? Are you asking about the experience of using the chatbot or the experience of doing the protocols, or a mixture? ...)

Trying to decode the question based on my own interpretation, I would like to say the following:
* The chatbot was considerably more organic and empathetic in conversation and did make me feel heard and supported to a reasonable extent.
* Regardless of the chatbot, the experiential cycle of reflecting on my current emotional state, practicing a SAT protocol, and re-evaluating my state of mind had a positive impact on my focus and well being.","* As I mentioned, the language and flow of questions and responses was really empathetic. You are definitely on the right track on this. There are a couple of details, I would like to comment on below.

* The acknowledgement of our feelings was very effectively done, but I feel in conversations with multiple follow-up questions (typically when discussing negative emotions), it was a little overdone, which made it less organic than a similar conversation with a real person. In real life, when we acknowledge someone's feeling, we wouldn't typically repeat it verbally at the beginning of every other sentence, but would use more subtle ways to expand on the safe space created by the original acknowledgement (which could involve, more listening and less interruption - even if the interruption has an empathetic language). Of course, a great part of this is communicated non-verbally, which is not possible with a text chat bot, but I think there is still a lot that can be done to show more subtle manifestations of compassion even in text.

* One thing that I found slightly counter-productive was a specific way of ending the discussion on negative feelings. After a protocol was suggested and practiced, we would be asked if it helped and several times, I noticed that this question was immediately followed by something like ""I hope this helped"" or ""I hope you feel better"". In real-life empathy, this is not a good practice, as we're practically imposing a bias towards ""feeling better"". If we try to help someone in distress, and give them a chance to report back, the correct follow-up would be to ask an open question (how are you feeling now? how did it go?) followed by empathetic listening (in the case of the chatbot, perhaps it would be best to use the same AI to again interpret the response and follow up based on that).

","* Overall, this was a huge step in the right direction. I look forward to seeing the later versions as well. A few more comments and suggestions:

- The interface has a lot of room for improvement. The current version is not compatible with all devices. There are also several details that can be improved, which is beyond the scope of this feedback. I suggest you collect user feedback specifically on this aspect later in the research.

- I mentioned this in my feedback to the previous version (and there was a good attempt at improvement in this version, but my feedback still stands): Asking the participant to ""go, do the protocol, and come back"" somewhat disrupts the organic flow of the mentor/mentee conversation. Ideally, I would like to be guided by the chatbot persona in doing the protocol. Aspects of this was incorporated in the questioning (which I really appreciated), but I think there is still room for making it more streamlined.

- One feature of the last version, which for some reason was removed in this version, was the option to choose a different protocol than those recommended by the chatbot. I think this feature should not only be kept, but also improved to help the AI learn about why respondents are choosing those protocols and how the knowledge can be used to have better recommendations for them in future sessions.

- The addition of personas was great. I think more work is worth doing in making the persona relatable and ""real"" (for the first step, the chosen persona's avatar can be shown throughout the conversation. Right now, we'd choose a persona, but still see the face of everyone else along with our chosen identity.)

"
Agree,Agree,Agree,Robert,Agree,Agree,,It was overall very emotional experience. I could connect with Kai and Robert and Gabriella. ,"I think it was great, maybe some more empathetic phrases can help individuals in trouble,",
Agree,Strongly agree,Agree,"Robert,Olivia",Strongly agree,Agree,Strongly agree,The suggestions was appropriate and they helped me to improve my emotions.,,
Neither agree nor disagree,Agree,Agree,"Gabrielle,Arman",Neither agree nor disagree,Neither agree nor disagree,Agree,"The experience is quite powerful, but due to the SAT protocols. The bot helps, but I feel it is quite limited, the responses are often repeating.","Emotion recognition can be significantly improved with a corpus of synonyms. Responses could be more varied and flavorful. Often silly, funny even ridiculous responses can help. ",
Agree,Agree,Disagree,"Arman,Olivia",Neither agree nor disagree,Disagree,Neither agree nor disagree,,"The persona must ask deeper more details questions before suggesting protocols. Regardless of how much of the users' answers are actually used, the impression that someone is listening to me at the other end of the line, is very important I think.

The responses of the persona will be better received if they are in audio/video format, either through animation or ideally AI assisted recorded video.","The responses feel quite general. This in turn might make the user sceptical towards the effectiveness of the suggested protocols, even before trying them."
Disagree,Neither agree nor disagree,Neither agree nor disagree,Robert,Neither agree nor disagree,Neither agree nor disagree,Agree,I like the fact that the bot reminds me of the protocols ,"I think it would be a great idea if the bot itself gives a short reminder of the protocol item that it suggest. 

Also I think the bot tries to show up too much empathy in an artificial way.

Also, I think the bot os unable to understand complicated emotions. It simplifies the emotions a little too much.",I think it is better to focus on improving the bot as a tool to teach us the protocol itself at a deeper level. 
Agree,Agree,Neither agree nor disagree,Arman,Agree,Neither agree nor disagree,Agree,I enjoyed some protocols more than others. Exercise 13 and 20 were personal favourites as I felt as though they really boosted my mood.,"Potentially introduce more of a conversation rather than just clicking buttons to answer questions, but of course I understand this might be hard to implement.","The AI understood the main buzz words of my emotions. It did get confused once when I said ""I was feeling so so"" and it interpreted it as I was feeling happy, but in general it understood my emotions."
Agree,Agree,Agree,Robert,Agree,Agree,Agree,"With the conversation, I can gradually adjusted my emotions and let myself feel better.","After choosing the persona, maybe it's better to display that avatar at someplace to let users know who they are talking to.",The response from the chat bot maybe should be displayed one by one to make it like a real person i?
